Title,Authors,Venue,Year,URL
"Advances in Neural Information Processing Systems 35: Annual Conference on Neural Information Processing Systems 2022, NeurIPS 2022, New Orleans, LA, USA, November 28 - December 9, 2022.","Sanmi Koyejo, S. Mohamed, A. Agarwal, Danielle Belgrave, K. Cho, A. Oh",NeurIPS,2022,https://papers.nips.cc/paper_files/paper/2022
"NeurIPS 2022 Competition Track, November 28 - December 9, 2022, Online","Marco Ciccone, Gustavo Stolovitzky, Jacob Albrecht","['NeurIPS', 'Proceedings of Machine Learning Research']",2022,https://proceedings.mlr.press/v220/
"Proceedings on &quot;I Can&apos;t Believe It&apos;s Not Better! - Understanding Deep Learning Through Empirical Falsification&quot; at NeurIPS 2022 Workshops, 03 December 2022, New Orleans, Louisiana, USA","Javier Antorán, Arno Blaas, Fan Feng, Sahra Ghalebikesabi, Ian Mason, Melanie F. Pradier, David Rohde, Francisco J. R. Ruiz, Aaron Schein","['ICBINB', 'Proceedings of Machine Learning Research']",2022,https://proceedings.mlr.press/v187/
"Machine Learning for Health, ML4H 2022, 28 November 2022, New Orleans, Lousiana, USA &amp; Virtual.","Antonio Parziale, Monica Agrawal, Shalmali Joshi, Irene Y. Chen, Shengpu Tang, Luis Oala, Adarsh Subbaswamy","['ML4H@NeurIPS', 'Proceedings of Machine Learning Research']",2022,http://proceedings.mlr.press/v193/
IGLU 2022: Interactive Grounded Language Understanding in a Collaborative Environment at NeurIPS 2022.,"Julia Kiseleva, Alexey Skrynnik, Artem Zholus, Shrestha Mohanty, Negar Arabzadeh, Marc-Alexandre Côté, Mohammad Aliannejadi, Milagro Teruel, Ziming Li 0001, Mikhail Burtsev 0001, Maartje ter Hoeve, Zoya Volovikova, Aleksandr I. Panov, Yuxuan Sun, Kavya Srinet, Arthur Szlam, Ahmed Awadallah 0001",CoRR,2022,https://doi.org/10.48550/arXiv.2205.13771
Machine Learning for Health (ML4H) 2022.,"Antonio Parziale, Monica Agrawal, Shengpu Tang, Kristen Severson 0001, Luis Oala, Adarsh Subbaswamy, Sayantan Kumar, Elora D. M. Schörverth, Stefan Hegselmann, Helen Zhou, Ghada Zamzmi, Purity Mugambi, Elena Sizikova, Girmaw Abebe Tadesse, Yuyin Zhou, Taylor W. Killian, Haoran Zhang 0003, Fahad Kamran, Andrea Hobby, Mars Huang, Ahmed M. Alaa, Harvineet Singh, Irene Y. Chen, Shalmali Joshi",ML4H@NeurIPS,2022,https://proceedings.mlr.press/v193/parziale22a.html
"NeurIPS Workshop on Symmetry and Geometry in Neural Representations, 03 December 2022, New Orleans, Lousiana, USA","Sophia Sanborn, Christian Shewmake, Simone Azeglio, Arianna Di Bernardo, Nina Miolane","['NeurReps', 'Proceedings of Machine Learning Research']",2022,https://proceedings.mlr.press/v197/
"NeurIPS 2021 Competitions and Demonstrations Track, 6-14 December 2021, Online.","Douwe Kiela, Marco Ciccone, Barbara Caputo","['NeurIPS', 'Proceedings of Machine Learning Research']",2022,http://proceedings.mlr.press/v176/
"Proceedings of The Cell Segmentation Challenge in Multi-modality High-Resolution Microscopy Images, Competitions in Neural Information Processing Systems, December 7, 2022, New Orleans, LA, USA","Jun Ma 0016, Ronald Xie, Anubha Gupta, José Guilherme de Almeida, Gary D. Bader, Bo Wang 0044","['Cell Segmentation Challenge @ NeurIPS', 'Proceedings of Machine Learning Research']",2022,https://proceedings.mlr.press/v212/
NeurIPS 2022 Competition: Driving SMARTS.,"Amir Rasouli, Randy Goebel, Matthew E. Taylor, Iuliia Kotseruba, Soheil Alizadeh, Tianpei Yang, Montgomery Alban, Florian Shkurti, Yuzheng Zhuang, Adam Scibior, Kasra Rezaee, Animesh Garg, David Meger, Jun Luo 0009, Liam Paull, Weinan Zhang 0001, Xinyu Wang 0001, Xi Chen",CoRR,2022,https://doi.org/10.48550/arXiv.2211.07545
"An ensemble of VisNet, Transformer-M, and pretraining models for molecular property prediction in OGB Large-Scale Challenge @ NeurIPS 2022.","Yusong Wang, Shaoning Li, Tong Wang 0014, Zun Wang, Xinheng He, Bin Shao, Tie-Yan Liu",CoRR,2022,https://doi.org/10.48550/arXiv.2211.12791
1st Place Solution to NeurIPS 2022 Challenge on Visual Domain Adaptation.,"Daehan Kim, Minseok Seo, Youngjin Jeon, Dong-Geol Choi",CoRR,2022,https://doi.org/10.48550/arXiv.2211.14596
NeurIPS 2022 Competition Track Revised Selected Papers.,"Marco Ciccone, Gustavo Stolovitzky, Jacob Albrecht",NeurIPS,2021,https://proceedings.mlr.press/v220/ciccone22a.html
The Machine Reconnaissance Blind Chess Tournament of NeurIPS 2022.,"Ryan W. Gardner, Gino Perrotta, Anvay Shah, Shivaram Kalyanakrishnan, Kevin A. Wang, Gregory Clark, Timo Bertram, Johannes Fürnkranz, Martin Müller 0003, Brady P. Garrison, Prithviraj Dasgupta, Saeid Rezaei",NeurIPS,2021,https://proceedings.mlr.press/v220/gardner22a.html
Weather4cast at NeurIPS 2022: Super-Resolution Rain Movie Prediction under Spatio-temporal Shifts.,"Aleksandra Gruca, Federico Serva, Llorenç Lliso, Pilar Rípodas, Xavier Calbet, Pedro Herruzo, Jirí Pihrt, Rudolf Raevskiy, Petr Simánek, Matej Choma, Yang Li, Haiyu Dong, Yury Belousov 0001, Sergey Polezhaev, Brian Pulfer, Minseok Seo, Doyi Kim, Seungheon Shin, Eunbin Kim, Sewoong Ahn, Yeji Choi, Jinyoung Park 0001, Minseok Son, Seungju Cho, Inyoung Lee, Changick Kim, Taehyeon Kim 0001, Shinhwan Kang, Hyeonjeong Shin, Deukryeol Yoon, Seongha Eom, Kijung Shin, Se-Young Yun, Bertrand Le Saux, Michael K. Kopp 0001, Sepp Hochreiter, David P. Kreil",NeurIPS,2021,https://proceedings.mlr.press/v220/gruca22a.html
The EURO Meets NeurIPS 2022 Vehicle Routing Competition.,"Wouter Kool 0001, Laurens Bliek, Danilo Numeroso, Yingqian Zhang 0001, Tom Catshoek, Kevin Tierney, Thibaut Vidal, Joaquim A. S. Gromicho",NeurIPS,2021,https://proceedings.mlr.press/v220/kool22a.html
The NeurIPS 2022 Neural MMO Challenge: A Massively Multiagent Competition with Specialization and Trade.,"Enhong Liu, Joseph Suarez, Chenhui You, Bo Wu, Bingcheng Chen, Jun Hu 0014, Jiaxin Chen, Xiaolong Zhu, Clare Zhu, Julian Togelius, Sharada P. Mohanty, Weijun Hong, Rui Du, Yibing Zhang, Qinwen Wang, Xinhang Li, Zheng Yuan, Xiang Li, Yuejia Huang, Kun Zhang, Hanhui Yang, Shiqi Tang, Phillip Isola",NeurIPS,2021,https://proceedings.mlr.press/v220/liu22a.html
