Title,Authors,Venue,Year,URL
"Proceedings of the Thirtieth International Joint Conference on Artificial Intelligence, IJCAI 2021, Virtual Event / Montreal, Canada, 19-27 August 2021.",Zhi-Hua Zhou,IJCAI,2021,https://www.ijcai.org/proceedings/2021/
"Proceedings of the Second Workshop on Artificial Intelligence for Function, Disability, and Health co-located with the 2021 International Joint Conference on Artificial Intelligence, AI4Function@IJCAI 2021, Online, August 20-21, 2021.","Denis Newman-Griffis, Bart Desmet, Ayah Zirikly, Suzanne Tamang, Hongfang Liu","['AI4Function@IJCAI', 'CEUR Workshop Proceedings']",2021,https://ceur-ws.org/Vol-2926
"Proceedings of the Workshop on Artificial Intelligence Safety 2021 co-located with the Thirtieth International Joint Conference on Artificial Intelligence (IJCAI 2021), Virtual, August, 2021.","Huáscar Espinoza, John A. McDermid, Xiaowei Huang 0001, Mauricio Castillo-Effen, Xin Cynthia Chen, José Hernández-Orallo, Seán Ó hÉigeartaigh, Richard Mallah, Gabriel Pedroza","['AISafety@IJCAI', 'CEUR Workshop Proceedings']",2021,https://ceur-ws.org/Vol-2916
"Proceedings of the Twelfth International Workshop Modelling and Reasoning in Context (MRC 2021) co-located with the 30th International Joint Conference on Artificial Intelligence (IJCAI 2021), Montréal, Quebec, Canada, August 19-20, 2021.","Jörg Cassens, Rebekah Wegener, Anders Kofod-Petersen","['MRC@IJCAI', 'CEUR Workshop Proceedings']",2021,https://ceur-ws.org/Vol-2995
"Artificial Intelligence for Knowledge Management, Energy, and Sustainability - 9th IFIP WG 12.6 and 1st IFIP WG 12.11 International Workshop, AI4KMES 2021, Held at IJCAI 2021, Montreal, QC, Canada, August 19-20, 2021, Revised Selected Papers","Eunika Mercier-Laurent, Gülgün Kayakutlu","['AI4KMES@IJCAI', 'IFIP Advances in Information and Communication Technology']",2022,https://doi.org/10.1007/978-3-030-96592-1
"Artificial Intelligence for Knowledge Management - 8th IFIP WG 12.6 International Workshop, AI4KM 2021, Held at IJCAI 2020, Yokohama, Japan, January 7-8, 2021, Revised Selected Papers","Eunika Mercier-Laurent, Mehmet Özgür Kayalica, Mieczyslaw Lech Owoc","['AI4KM@IJCAI', 'IFIP Advances in Information and Communication Technology']",2021,https://doi.org/10.1007/978-3-030-80847-1
"Proceedings of the 9th International Workshop &quot;What can FCA do for Artificial Intelligence?&quot; co-located with the 30th International Joint Conference on Artificial Intelligence (IJCAI 2021), Montréal, Québec, Canada, August 21, 2021.","Sergei O. Kuznetsov, Amedeo Napoli, Sebastian Rudolph","['FCA4AI@IJCAI', 'CEUR Workshop Proceedings']",2021,https://ceur-ws.org/Vol-2972
"Human Brain and Artificial Intelligence - Second International Workshop, HBAI 2020, Held in Conjunction with IJCAI-PRICAI 2020, Yokohama, Japan, January 7, 2021, Revised Selected Papers",Yueming Wang,"['HBAI@IJCAI', 'Communications in Computer and Information Science']",2021,https://doi.org/10.1007/978-981-16-1288-6
"Artificial Intelligence for Knowledge Management - 7th IFIP WG 12.6 International Workshop, AI4KM 2019, Held at IJCAI 2019, Macao, China, August 11, 2019, Revised Selected Papers","Mieczyslaw Lech Owoc, Maciej Pondel","['AI4KM@IJCAI', 'IFIP Advances in Information and Communication Technology']",2021,https://doi.org/10.1007/978-3-030-85001-2
"Proceedings of the First Workshop on Artificial Intelligence for Function, Disability, and Health co-located with the 2020 International Joint Conference on Artificial Intelligence - Pacific Rim Conference on Artificial Intelligence (IJCAI-PRICAI 2020), Online, January 7-8, 2021.","Denis Newman-Griffis, Serguei V. S. Pakhomov, Suzanne Tamang, Ayah Zirikly, Bart Desmet, Hongfang Liu, Junichi Tsujii","['AI4Function@IJCAI', 'CEUR Workshop Proceedings']",2020,https://ceur-ws.org/Vol-2760
