Title,Authors,Venue,Year,URL
"Proceedings of the Workshop on Artificial Intelligence Safety 2022 (AISafety 2022) co-located with the Thirty-First International Joint Conference on Artificial Intelligence and the Twenty-Fifth European Conference on Artificial Intelligence (IJCAI-ECAI-2022), Vienna, Austria, July 24-25, 2022.","Gabriel Pedroza, Xin Cynthia Chen, José Hernández-Orallo, Xiaowei Huang 0001, Huáscar Espinoza, Richard Mallah, John A. McDermid, Mauricio Castillo-Effen","['AISafety@IJCAI', 'CEUR Workshop Proceedings']",2022,https://ceur-ws.org/Vol-3215
"Proceedings of the 1st International Workshop on Spatio-Temporal Reasoning and Learning (STRL 2022) co-located with the 31st International Joint Conference on Artificial Intelligence and the 25th European Conference on Artificial Intelligence (IJCAI 2022, ECAI 2022), Vienna, Austria, July 24, 2022.","Michael Sioutis, Zhiguo Long, John G. Stell, Jochen Renz","['STRL@IJCAI', 'CEUR Workshop Proceedings']",2022,https://ceur-ws.org/Vol-3190
"Proceedings of the 2nd Workshop on Adverse Impacts and Collateral Effects of Artificial Intelligence Technologies - AIofAI 2022 co-located with 31th International Conference on Artificial Intelligence (IJCAI 2022), Vienna, Austria, July 24, 2022.","Esma Aïmeur, Nicolás E. Díaz Ferreyra, Hicham Hage","['AIofAI@IJCAI', 'CEUR Workshop Proceedings']",2022,https://ceur-ws.org/Vol-3275
"Proceedings of the Second Workshop on Complex Data Challenges in Earth Observation (CDCEO 2022) co-located with 31st International Joint Conference on Artificial Intelligence and the 25th European Conference on Artificial Intelligence (IJCAI-ECAI 2022), Vienna, Austria, July 25th, 2022.","Aleksandra Gruca, Caleb Robinson, Naoto Yokoya, Jun Zhou 0001, Pedram Ghamisi","['CDCEO@IJCAI', 'CEUR Workshop Proceedings']",2022,https://ceur-ws.org/Vol-3207
"Proceedings of the Thirty-First International Joint Conference on Artificial Intelligence, IJCAI 2022, Vienna, Austria, 23-29 July 2022.",Luc De Raedt,IJCAI,2022,https://www.ijcai.org/proceedings/2022/
"Proceedings of the Workshop on Process Management in the AI Era (PMAI 2022) co-located with 31st International Joint Conference on Artificial Intelligence and the 25th European Conference on Artificial Intelligence (IJCAI-ECAI 2022), Wien, Austria, July 23, 2022.","Giuseppe De Giacomo, Antonella Guzzo, Marco Montali, Lior Limonad, Fabiana Fournier, Tagatha Chakraborti","['PMAI@IJCAI', 'CEUR Workshop Proceedings']",2022,https://ceur-ws.org/Vol-3310
"Trustworthy Federated Learning - First International Workshop, FL 2022, Held in Conjunction with IJCAI 2022, Vienna, Austria, July 23, 2022, Revised Selected Papers","Randy Goebel, Han Yu 0001, Boi Faltings, Lixin Fan, Zehui Xiong","['FL@IJCAI', 'Lecture Notes in Computer Science']",2023,https://doi.org/10.1007/978-3-031-28996-5
"Human Brain and Artificial Intelligence - Third International Workshop, HBAI 2022, Held in Conjunction with IJCAI-ECAI 2022,Vienna, Austria, July 23, 2022, Revised Selected Papers",Xiaomin Ying,"['HBAI@IJCAI', 'Communications in Computer and Information Science']",2023,https://doi.org/10.1007/978-981-19-8222-4
"PAIS 2022 - 11th Conference on Prestigious Applications of Artificial Intelligence, 25 July 2022, Vienna, Austria (co-located with IJCAI-ECAI 2022)","Andrea Passerini, Thomas Schiex","['PAIS@ECAI', 'Frontiers in Artificial Intelligence and Applications']",2022,https://doi.org/10.3233/FAIA351
"Twelfth International Workshop on Agents in Traffic and Transportation co-located with the the 31st International Joint Conference on Artificial Intelligence and the 25th European Conference on Artificial Intelligence (IJCAI-ECAI 2022), Vienna, Austria, July 25, 2022.","Ana Lúcia C. Bazzan, Ivana Dusparic, Marin Lujak, Giuseppe Vizzari","['ATT@IJCAI', 'CEUR Workshop Proceedings']",2022,https://ceur-ws.org/Vol-3173
