Title,Authors,Venue,Year,URL
"IEEE Conference on Computer Vision and Pattern Recognition, CVPR 2021, virtual, June 19-25, 2021",,CVPR,2021,https://openaccess.thecvf.com/CVPR2021
"IEEE Conference on Computer Vision and Pattern Recognition Workshops, CVPR Workshops 2021, virtual, June 19-25, 2021",,CVPR Workshops,2021,https://openaccess.thecvf.com/CVPR2021_workshops
NTIRE 2021 Challenge for Defocus Deblurring Using Dual-Pixel Images: Methods and Results.,"Abdullah Abuolaim, Radu Timofte, Michael S. Brown",CVPR Workshops,2021,https://openaccess.thecvf.com/content/CVPR2021W/NTIRE/html/Abuolaim_NTIRE_2021_Challenge_for_Defocus_Deblurring_Using_Dual-Pixel_Images_Methods_CVPRW_2021_paper.html
NTIRE 2021 NonHomogeneous Dehazing Challenge Report.,"Codruta O. Ancuti, Cosmin Ancuti, Florin-Alexandru Vasluianu, Radu Timofte",CVPR Workshops,2021,https://openaccess.thecvf.com/content/CVPR2021W/NTIRE/html/Ancuti_NTIRE_2021_NonHomogeneous_Dehazing_Challenge_Report_CVPRW_2021_paper.html
NTIRE 2021 Challenge on Burst Super-Resolution: Methods and Results.,"Goutam Bhat, Martin Danelljan, Radu Timofte",CVPR Workshops,2021,https://openaccess.thecvf.com/content/CVPR2021W/NTIRE/html/Bhat_NTIRE_2021_Challenge_on_Burst_Super-Resolution_Methods_and_Results_CVPRW_2021_paper.html
NTIRE 2021 Challenge on Perceptual Image Quality Assessment.,"Jinjin Gu, Haoming Cai, Chao Dong 0005, Jimmy S. Ren, Yu Qiao 0001, Shuhang Gu, Radu Timofte",CVPR Workshops,2021,https://openaccess.thecvf.com/content/CVPR2021W/NTIRE/html/Gu_NTIRE_2021_Challenge_on_Perceptual_Image_Quality_Assessment_CVPRW_2021_paper.html
NTIRE 2021 Depth Guided Image Relighting Challenge.,"Majed El Helou, Ruofan Zhou, Sabine Süsstrunk, Radu Timofte",CVPR Workshops,2021,https://openaccess.thecvf.com/content/CVPR2021W/NTIRE/html/Helou_NTIRE_2021_Depth_Guided_Image_Relighting_Challenge_CVPRW_2021_paper.html
"Fast Camera Image Denoising on Mobile GPUs With Deep Learning, Mobile AI 2021 Challenge: Report.","Andrey Ignatov, Kim Byeoung-su, Radu Timofte, Angeline Pouget",CVPR Workshops,2021,https://openaccess.thecvf.com/content/CVPR2021W/MAI/html/Ignatov_Fast_Camera_Image_Denoising_on_Mobile_GPUs_With_Deep_Learning_CVPRW_2021_paper.html
"Learned Smartphone ISP on Mobile NPUs With Deep Learning, Mobile AI 2021 Challenge: Report.","Andrey Ignatov, Cheng-Ming Chiang, Hsien-Kai Kuo, Anastasia Sycheva, Radu Timofte",CVPR Workshops,2021,https://openaccess.thecvf.com/content/CVPR2021W/MAI/html/Ignatov_Learned_Smartphone_ISP_on_Mobile_NPUs_With_Deep_Learning_Mobile_CVPRW_2021_paper.html
"Fast and Accurate Single-Image Depth Estimation on Mobile Devices, Mobile AI 2021 Challenge: Report.","Andrey Ignatov, Grigory Malivenko, David Plowman, Samarth Shukla, Radu Timofte",CVPR Workshops,2021,https://openaccess.thecvf.com/content/CVPR2021W/MAI/html/Ignatov_Fast_and_Accurate_Single-Image_Depth_Estimation_on_Mobile_Devices_Mobile_CVPRW_2021_paper.html
"Fast and Accurate Quantized Camera Scene Detection on Smartphones, Mobile AI 2021 Challenge: Report.","Andrey Ignatov, Grigory Malivenko, Radu Timofte",CVPR Workshops,2021,https://openaccess.thecvf.com/content/CVPR2021W/MAI/html/Ignatov_Fast_and_Accurate_Quantized_Camera_Scene_Detection_on_Smartphones_Mobile_CVPRW_2021_paper.html
"Real-Time Video Super-Resolution on Smartphones With Deep Learning, Mobile AI 2021 Challenge: Report.","Andrey Ignatov, Andrés Romero, Heewon Kim, Radu Timofte",CVPR Workshops,2021,https://openaccess.thecvf.com/content/CVPR2021W/MAI/html/Ignatov_Real-Time_Video_Super-Resolution_on_Smartphones_With_Deep_Learning_Mobile_AI_CVPRW_2021_paper.html
"Real-Time Quantized Image Super-Resolution on Mobile NPUs, Mobile AI 2021 Challenge: Report.","Andrey Ignatov, Radu Timofte, Maurizio Denna, Abdel Younes",CVPR Workshops,2021,https://openaccess.thecvf.com/content/CVPR2021W/MAI/html/Ignatov_Real-Time_Quantized_Image_Super-Resolution_on_Mobile_NPUs_Mobile_AI_2021_CVPRW_2021_paper.html
NTIRE 2021 Multi-Modal Aerial View Object Classification Challenge.,"Jerrick Liu, Nathan Inkawhich, Oliver Nina, Radu Timofte",CVPR Workshops,2021,https://openaccess.thecvf.com/content/CVPR2021W/NTIRE/html/Liu_NTIRE_2021_Multi-Modal_Aerial_View_Object_Classification_Challenge_CVPRW_2021_paper.html
NTIRE 2021 Learning the Super-Resolution Space Challenge.,"Andreas Lugmayr, Martin Danelljan, Radu Timofte",CVPR Workshops,2021,https://openaccess.thecvf.com/content/CVPR2021W/NTIRE/html/Lugmayr_NTIRE_2021_Learning_the_Super-Resolution_Space_Challenge_CVPRW_2021_paper.html
NTIRE 2021 Challenge on Image Deblurring.,"Seungjun Nah, Sanghyun Son 0002, Suyoung Lee, Radu Timofte, Kyoung Mu Lee",CVPR Workshops,2021,https://openaccess.thecvf.com/content/CVPR2021W/NTIRE/html/Nah_NTIRE_2021_Challenge_on_Image_Deblurring_CVPRW_2021_paper.html
"NTIRE 2021 Challenge on High Dynamic Range Imaging: Dataset, Methods and Results.","Eduardo Pérez-Pellitero, Sibi Catley-Chandar, Ales Leonardis, Radu Timofte",CVPR Workshops,2021,https://openaccess.thecvf.com/content/CVPR2021W/NTIRE/html/Perez-Pellitero_NTIRE_2021_Challenge_on_High_Dynamic_Range_Imaging_Dataset_Methods_CVPRW_2021_paper.html
Thermal Image Super-Resolution Challenge - PBVS 2021.,"Rafael E. Rivadeneira, Ángel D. Sappa, Boris Xavier Vintimilla, Sabari Nathan, Priya Kansal, Armin Mehri, Parichehr Behjati Ardakani, Anurag Dalal, Aparna Akula, Darshika Sharma, Shashwat Pandey, Basant Kumar, Jiaxin Yao, Rongyuan Wu, Kai Feng, Ning Li, Yongqiang Zhao 0001, Heena Patel, Vishal M. Chudasama, Kalpesh Prajapati, Anjali Sarvaiya, Kishor P. Upla, Kiran B. Raja, Raghavendra Ramachandra, Christoph Busch 0001, Feras Almasri, Thomas Vandamme, Olivier Debeir, Nolan B. Gutierrez, Quan H. Nguyen, William J. Beksi",CVPR Workshops,2021,https://openaccess.thecvf.com/content/CVPR2021W/PBVS/html/Rivadeneira_Thermal_Image_Super-Resolution_Challenge_-_PBVS_2021_CVPRW_2021_paper.html
NTIRE 2021 Challenge on Video Super-Resolution.,"Sanghyun Son 0002, Suyoung Lee, Seungjun Nah, Radu Timofte, Kyoung Mu Lee",CVPR Workshops,2021,https://openaccess.thecvf.com/content/CVPR2021W/NTIRE/html/Son_NTIRE_2021_Challenge_on_Video_Super-Resolution_CVPRW_2021_paper.html
NTIRE 2021 Challenge on Quality Enhancement of Compressed Video: Methods and Results.,Ren Yang,CVPR Workshops,2021,https://openaccess.thecvf.com/content/CVPR2021W/NTIRE/html/Yang_NTIRE_2021_Challenge_on_Quality_Enhancement_of_Compressed_Video_Methods_CVPRW_2021_paper.html
NTIRE 2021 Challenge on Quality Enhancement of Compressed Video: Dataset and Study.,Ren Yang,CVPR Workshops,2021,https://openaccess.thecvf.com/content/CVPR2021W/NTIRE/html/Yang_NTIRE_2021_Challenge_on_Quality_Enhancement_of_Compressed_Video_Dataset_CVPRW_2021_paper.html
A Robust MTMC Tracking System for AI-City Challenge 2021.,"Jin Ye, Xipeng Yang, Shuai Kang, Yue He, Weiming Zhang, Leping Huang, Minyue Jiang, Wei Zhang 0197, Yifeng Shi, Meng Xia, Xiao Tan 0001",CVPR Workshops,2021,https://openaccess.thecvf.com/content/CVPR2021W/AICity/html/Ye_A_Robust_MTMC_Tracking_System_for_AI-City_Challenge_2021_CVPRW_2021_paper.html
Winning the CVPR&apos;2021 Kinetics-GEBD Challenge: Contrastive Learning Approach.,"Hyolim Kang, Jinwoo Kim, Kyungmin Kim 0002, Taehyun Kim, Seon Joo Kim",CoRR,2021,https://arxiv.org/abs/2106.11549
Generic Event Boundary Detection Challenge at CVPR 2021 Technical Report: Cascaded Temporal Attention Network (CASTANET).,"Dexiang Hong, Congcong Li, Longyin Wen, Xinyao Wang, Libo Zhang 0001",CoRR,2021,https://arxiv.org/abs/2107.00239
